regiao;variavel;n;media;dp;p25;mediana;p75
Centro-Oeste;pct_dom_improv;8862.0;0.0004658304353057796;0.0089604686591052;0.0;0.0;0.0
Centro-Oeste;pct_hab_precaria;9490.0;0.010079529129581865;0.044956382466875576;0.0;0.0;0.0
Nordeste;pct_dom_improv;18384.0;0.000649648472637451;0.012905817436298228;0.0;0.0;0.0
Nordeste;pct_hab_precaria;19497.0;0.00413791472948003;0.024995555057677792;0.0;0.0;0.0
Norte;pct_dom_improv;5530.0;0.0003758410724093569;0.00912015888793357;0.0;0.0;0.0
Norte;pct_hab_precaria;5915.0;0.006296207305104541;0.02443644300725306;0.0;0.0;0.0
Sudeste;pct_dom_improv;59390.0;0.0008875434058518692;0.01924208208772484;0.0;0.0;0.0
Sudeste;pct_hab_precaria;61989.0;0.007389753137340371;0.0495120596093769;0.0;0.0;0.0
Sul;pct_dom_improv;6803.0;0.00014873445011246868;0.002800870343910845;0.0;0.0;0.0
Sul;pct_hab_precaria;7217.0;0.001232325337047148;0.009780525882226537;0.0;0.0;0.0
